lat_bin,lon_bin,observed_incidents
41.885,-87.63,24690
41.88,-87.63,23530
41.78,-87.615,20662
41.75,-87.605,15373
41.9,-87.625,15089
41.895,-87.63,15053
41.895,-87.625,14361
41.765,-87.575,13594
41.885,-87.765,13574
41.88,-87.755,13188
41.88,-87.625,13025
41.905,-87.63,13015
41.85,-87.625,12901
41.78,-87.685,12716
41.755,-87.565,12573
41.89,-87.63,12538
41.75,-87.665,12511
41.88,-87.725,12398
41.88,-87.75,12008
41.865,-87.72,11928
41.905,-87.645,11839
41.9,-87.72,11733
41.83,-87.615,11677
41.965,-87.655,11500
41.89,-87.625,11330
41.965,-87.66,11302
41.875,-87.725,11287
41.745,-87.605,11171
41.88,-87.685,10939
41.885,-87.625,10652
41.88,-87.76,10583
41.895,-87.635,10571
41.895,-87.72,10543
41.78,-87.665,10265
41.9,-87.64,10147
41.9,-87.725,10126
41.755,-87.74,9966
41.88,-87.73,9925
41.875,-87.745,9918
41.88,-87.765,9871
41.905,-87.725,9784
41.885,-87.755,9697
41.78,-87.605,9613
41.91,-87.745,9489
41.75,-87.6,9480
41.945,-87.655,9412
41.875,-87.63,9396
41.91,-87.675,9281
41.865,-87.625,9217
41.88,-87.745,9107
41.735,-87.63,9106
41.76,-87.565,9100
41.865,-87.665,9090
41.88,-87.7,9016
41.76,-87.56,8990
41.88,-87.735,8928
41.94,-87.65,8899
41.88,-87.705,8852
42.02,-87.67,8796
41.895,-87.75,8754
41.895,-87.715,8752
41.75,-87.645,8750
41.86,-87.71,8670
41.865,-87.705,8603
41.905,-87.64,8508
41.75,-87.66,8500
41.77,-87.665,8312
41.895,-87.755,8278
41.88,-87.635,8264
41.905,-87.695,8251
41.86,-87.715,8236
41.77,-87.645,8165
41.765,-87.58,8150
41.9,-87.63,8099
41.91,-87.765,8081
41.9,-87.75,8075
41.865,-87.715,7972
41.78,-87.69,7930
41.755,-87.555,7838
41.785,-87.615,7805
41.77,-87.685,7787
41.905,-87.67,7780
41.88,-87.64,7699
41.795,-87.665,7698
41.88,-87.695,7674
41.94,-87.655,7669
41.765,-87.645,7609
41.89,-87.755,7583
41.865,-87.725,7559
41.895,-87.765,7546
41.79,-87.62,7543
41.88,-87.74,7527
41.86,-87.725,7488
41.88,-87.71,7479
41.78,-87.7,7437
41.755,-87.645,7401
41.75,-87.625,7399
41.775,-87.645,7363
41.77,-87.585,7341
41.97,-87.655,7337
41.895,-87.71,7327
41.905,-87.73,7315
41.69,-87.62,7283
41.86,-87.72,7251
41.8,-87.62,7221
41.78,-87.61,7194
41.745,-87.6,7187
41.81,-87.62,7179
41.895,-87.725,7170
41.78,-87.695,7165
41.775,-87.615,7143
41.89,-87.635,7129
41.775,-87.685,7114
41.785,-87.665,7104
41.865,-87.71,7089
41.89,-87.75,7073
41.91,-87.65,7020
41.765,-87.585,7007
41.775,-87.61,6966
41.81,-87.605,6957
41.9,-87.755,6939
41.895,-87.76,6922
42.02,-87.675,6885
41.765,-87.63,6873
41.775,-87.605,6872
42.01,-87.665,6868
41.72,-87.625,6857
41.895,-87.745,6834
41.91,-87.755,6826
41.76,-87.585,6824
41.755,-87.56,6790
41.785,-87.605,6768
41.8,-87.665,6744
41.76,-87.59,6741
41.885,-87.745,6702
41.775,-87.67,6668
41.855,-87.625,6633
41.75,-87.565,6623
41.905,-87.71,6619
41.885,-87.71,6598
41.77,-87.65,6570
41.765,-87.665,6549
41.905,-87.72,6549
41.945,-87.65,6525
41.77,-87.66,6485
41.785,-87.62,6478
41.77,-87.625,6469
41.97,-87.66,6464
41.75,-87.56,6458
41.855,-87.725,6425
41.775,-87.695,6410
41.875,-87.735,6395
41.75,-87.61,6390
41.75,-87.65,6368
41.785,-87.65,6353
41.87,-87.7,6343
41.935,-87.645,6333
41.75,-87.555,6321
41.765,-87.565,6293
41.77,-87.655,6292
41.77,-87.59,6278
41.79,-87.66,6272
41.885,-87.635,6263
41.885,-87.725,6253
41.795,-87.62,6240
41.975,-87.655,6202
41.825,-87.615,6195
41.795,-87.645,6187
41.765,-87.615,6172
41.81,-87.665,6164
41.795,-87.675,6160
41.905,-87.69,6142
41.785,-87.655,6141
41.775,-87.675,6136
41.885,-87.76,6118
41.695,-87.62,6104
41.785,-87.645,6075
41.705,-87.62,6038
41.745,-87.665,6033
41.775,-87.665,5987
41.765,-87.65,5986
41.765,-87.685,5985
41.865,-87.73,5977
41.905,-87.665,5975
41.875,-87.695,5949
41.77,-87.575,5946
